City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,65.52,51,34,9.44,AU,1737866183
1,ushuaia,-54.8,-68.3,47.86,87,20,10.36,AR,1737866184
2,lihue,21.9789,-159.3672,74.79,73,40,10.36,US,1737866185
3,ancud,-41.8697,-73.8203,55.13,93,14,4.07,CL,1737866186
4,georgetown,5.4112,100.3354,87.75,70,20,5.75,MY,1737865929
5,santa catalina,9.3337,122.8637,87.26,62,56,13.2,PH,1737866188
6,cestos city,5.46,-9.5828,76.91,85,100,3.22,LR,1737866189
7,sao joao do piaui,-8.3581,-42.2467,70.56,84,1,0.87,BR,1737866191
8,puerto natales,-51.7236,-72.4875,49.6,86,100,3.27,CL,1737866192
9,callao,-12.0667,-77.15,72.72,83,0,6.91,PE,1737866193
10,piti village,13.4626,144.6933,87.31,70,0,6.91,GU,1737866194
11,yellowknife,62.456,-114.3525,27.12,86,75,6.91,CA,1737866196
12,muynoq,43.7683,59.0214,35.04,77,100,8.16,UZ,1737866197
13,midvagur,62.0511,-7.1939,36.43,69,40,10.36,FO,1737866198
14,bethel,41.3712,-73.414,26.44,64,46,4.0,US,1737866201
15,el calafate,-50.3408,-72.2768,53.6,75,100,2.46,AR,1737866202
16,port-aux-francais,-49.35,70.2167,43.57,82,100,22.46,TF,1737866203
17,iqaluit,63.7506,-68.5145,-0.67,71,100,5.75,CA,1737866204
18,anadyr,64.75,177.4833,-21.5,69,24,13.42,RU,1737866205
19,college,64.8569,-147.8028,37.08,96,75,3.44,US,1737866207
20,iskateley,67.6803,53.1512,18.91,95,100,12.55,RU,1737866209
21,avarua,-21.2078,-159.775,84.25,74,20,6.91,CK,1737866210
22,ilulissat,69.2167,-51.1,-10.46,95,99,4.0,GL,1737866212
23,cockburn town,21.4612,-71.1419,77.13,82,0,21.77,TC,1737866214
24,visby,57.6409,18.296,37.62,87,64,13.8,SE,1737866216
25,adamstown,-25.066,-130.1015,77.76,73,7,7.25,PN,1737866217
26,laguna,38.421,-121.4238,48.96,75,100,5.75,US,1737866218
27,kodiak,57.79,-152.4072,44.11,81,100,8.05,US,1737866219
28,afaahiti,-17.75,-149.2833,80.31,77,43,15.05,PF,1737866220
29,belmonte,-15.8631,-38.8828,75.22,89,5,3.13,BR,1737866221
30,cleveland,41.4995,-81.6954,35.1,66,0,23.02,US,1737866167
31,farias brito,-6.9306,-39.5656,66.04,91,8,1.41,BR,1737866224
32,margaret river,-33.95,115.0667,70.57,60,77,15.01,AU,1737866225
33,egilsstadir,65.2653,-14.3948,31.91,93,75,9.22,IS,1737866226
34,naryn,41.4287,75.9911,5.95,66,79,6.42,KG,1737866227
35,bredasdorp,-34.5322,20.0403,69.91,87,0,3.22,ZA,1737866228
36,tommot,58.9564,126.2925,-6.75,88,78,6.17,RU,1737866229
37,pitimbu,-7.4706,-34.8086,78.62,82,33,7.92,BR,1737866230
38,papatowai,-46.5619,169.4708,55.2,97,100,9.86,NZ,1737866232
39,loa janan,-0.583,117.095,77.5,95,100,2.3,ID,1737866233
40,aykhal,66.0,111.5,-30.42,99,71,4.81,RU,1737866234
41,revda,56.801,59.9303,3.49,87,27,3.89,RU,1737866235
42,grand falls-windsor,48.9332,-55.6649,18.5,85,15,1.01,CA,1737866236
43,yakeshi,49.2833,120.7333,11.35,91,100,9.13,CN,1737866237
44,saint-philippe,-21.3585,55.7679,80.83,76,75,11.21,RE,1737866240
45,ritchie,-29.038,24.6028,79.83,34,1,11.16,ZA,1737866241
46,kone,-21.0595,164.8658,84.15,75,100,0.58,NC,1737866242
47,timimoun,29.2639,0.231,56.75,41,20,10.51,DZ,1737866243
48,atafu village,-8.5421,-172.5159,82.94,69,61,16.42,TK,1737866244
49,ust-nera,64.5667,143.2,-21.53,98,98,6.26,RU,1737866245
50,whitehorse,60.7161,-135.0538,34.57,75,75,18.41,CA,1737866246
51,labuan,5.2767,115.2417,82.76,83,40,5.99,MY,1737866247
52,taro,-8.3862,115.28,79.18,78,98,1.88,ID,1737866249
53,emerald,-23.5333,148.1667,95.34,38,31,10.67,AU,1737866251
54,nguigmi,14.2495,13.1092,63.19,23,0,10.76,NE,1737866252
55,puerto real,36.5282,-6.1901,60.96,100,75,6.91,ES,1737866253
56,santana,-0.0583,-51.1817,78.98,94,75,3.44,BR,1737866254
57,albany,42.6001,-73.9662,22.68,67,30,3.0,US,1737866255
58,puerto ayora,-0.7393,-90.3518,75.54,97,15,1.01,EC,1737866257
59,kapuskasing,49.4169,-82.4331,15.8,79,100,11.5,CA,1737866258
60,broken hill,-31.95,141.4333,95.81,12,8,11.54,AU,1737866259
61,oyem,1.5995,11.5793,66.79,98,74,2.44,GA,1737866260
